comment,season,user_id,user_name
这个已经没法评价了。。。这不是剧集。。。完完全全就是十年的生活。。。十年的青春,1,332,Alfie
我的大学时光,1,350,日光瀑布
这是心中最经典了，反反复复看了很多年。,1,357,esse
再次重温！,1,369,Fanny??
哦，我亲爱的朋友。,1,378,鬼 鬼 ??
2007.DVD：最爱！！！,1,379,m.
如今我还反反复复翻出来看,1,383,三十
funny but no depth,1,385,葱油饼
已经看过一次了。第二遍正在以晚上睡前MP3加白天英文字幕的形式进行。,1,331,卷心笋
1994，mark,1,351,celalian
我都不知道自己看全没看全~,1,368,闪闪
最爱,1,370,mazzy
你们的十年 我看了整整半个月 最后余音未了的离别 你们教会我太多太多了,1,384,蹦蹦龙
友情永远都是我们生活的主题，也永远不会过时……，让我们开始怀念吧……,1,392,shanglin117
S10E11 to see,1,393,jinleileiking
10stars,1,394,Messi
每次看都很开心！,1,305,勾勒温暖的轮廓
最喜欢的美剧，看美剧的起始。,1,307,哼哼的Edge
看完之后的伤痛。,1,329,枫桥夜泊
最好的时光 就是我们在一起,1,339,aiya风
"六个人都好喜欢,再加我一个吧~",1,348,瑶仔面
无理由5星,1,374,伤匠
I do love you guys!,1,381,Meow走过中世纪
Joey简直是白痴笑话制造机……Rachel则是机关枪，说话快得不行……,1,390,碧落亦然
Joey和Chandel还真是天衣无缝的一对,2,400,Y
2014年5月重温～,2,482,badapple
大爱,2,486,乐孚伦
竟然有茱莉亚罗伯茨的客串呢~~,2,494,四夕
心情好要看FRIENDS，心情不好更要看FRIENDS。,2,405,岬
太好看了！chandler和janice无论怎么样就是分不掉是吧→_→,2,410,Lee winchester
翻越了一切误会的大山，走完了所有擦身而过的瞬间，罗斯与瑞秋终于像两个原始人那样迅速坠入了爱河。然而团聚总是伴随着离散，钱德与乔伊却因膨胀的欲望泡沫犹如失恋一般。不管是情感充沛但又匮乏的莫妮卡，还是无邪且又诡谲的菲比，这非你莫属的六个人都是渴望被爱的一代。因此那首既不华美也不着调的《臭猫》成了《老友记》的粘合剂与主打曲。但遗憾的是讲述忠诚与背叛的第二季恰恰缺少一股向心力，结尾收得仓促而缺乏惊喜。大概是有差异的重复以及循规蹈矩的未来生活吓坏了这些热恋中的情侣。,2,424,Muto
chandler戏份加重，我依然对rr恋无法投入，季初二人为了list大闹是蹩脚的桥段，但是最后一集婚礼上rachel在台上唱歌，ross在她忘词的地方提醒真是绝好的细节——rachel没有在ross发表那篇“声明”后将周遭的诋毁迁怒与他，她也不是在ross的鼓励下登上舞台，但是当她登上舞台的时候ross支持她，真好。joey原野奇侠慢镜头。j&c好友闹僵真的好似分手。les wedding 也是类似对“出格”的拥抱。phebe真美，服饰都非常好看，她又是这么游离于这个“家庭”，既不住在一起，也没有血缘或同样的阶层背景,2,430,山下猫
这绝对是治愈系，不仅仅是喜剧。接着看第三季~,2,431,九個9
"S02E11Monica为婚宴忙活 像纳粹这个梗可爱必现， chandle was so cute,Richard is charming.客串尚云格顿，茱莉亚罗伯茨，波姬小丝。",2,439,游坦
【重看补记】笑点依然出色，Marcel回来那两集最高，笑得滚到地上。而且令人意外的许多情节竟然非常sentimental，像是Ross和Rachel的错过又相逢，Joey和Chandler的分开后各自失落的舍友（基）情等等，小时候看根本没注意过。Phoebe这季搞笑又上新高度。客串的Angel of the Morning太好听！,2,445,Lycidas
女子与女子，亦可天荒地老,1,302,虾米薇安
