comment,processed_comment,season
"来美国后再也没看综艺，于是重新捡起《老友记》当下饭剧。第三季，Rachel找到时尚界的工作，她终于有了自己的事业，不再是那个事事依靠他人的小女孩了。与此同时，Ross内心潜藏的不安全感终于爆发。十年前，他是高中里不起眼的古怪男生，只能仰望众星捧月的她；十年后，他拥有博士头衔，成为她新生活的重要支柱。Ross终于和梦寐以求的公主在一起了，以为从此happlily ever after, 某一天却突然发现公主拿起权杖，想要成为女王。他不知所措，恐惧自己又成为那个不起眼不被喜欢的high school loser，于是极力反抗。没人教过Ross如何面对女友的独立，他吃醋、耍小性子、无理取闹，甚至在大吵一架后酒后出轨，一切都糟糕透了。若是国产剧，后面或许就是浪子回头、大爱无疆的戏码，可老友记没有那么庸俗。编剧明白人心的矛盾、感情的多变，此刻你一往无前",美国再也综艺捡起老友记饭剧.第三季Rachel找到时尚界工作终于事业事事小女孩.Ross内心潜藏不安全感终于爆发.十年高中里不起眼古怪男生只能仰望众星捧月.十年博士头衔新生活支柱.Ross终于梦寐以求公主happlily发现公主权杖想要女王.不知所措恐惧不起眼喜欢highschoolloser反抗.没人教过Ross面对女友独立吃醋耍性子无理取闹大吵一架酒后出轨糟糕透.国产剧浪子回头大爱无疆戏码老友记庸俗.编剧明白人心矛盾感情多变此刻一往无前,3
瑞秋离开了咖啡馆去时装界打拼 刚好和我相反喔~ 印象最深的一集是莫妮卡和查理的旧情复燃。莫妮卡说 也许我们可以做只维持性关系的朋友。我们可以只做彼此唯一的朋友 并且在亲友的见证下承诺永远做朋友。我看到这里完全被击倒了好吗~~~ 啊啊啊啊啊啊~ 迫不及待的想要知道罗斯到底有没有和瑞秋复合啊!!!,瑞秋离开咖啡馆时装界打拼喔印象最深一集莫妮卡查理旧情复燃.莫妮卡也许性关系朋友.唯一朋友亲友见证承诺永远朋友.击倒啊啊啊啊啊啊迫不及待想要罗斯有没有瑞秋复合,3
实在抱歉，我接受不了有人对我的工作指指点点贬低我的同时，只要说一句爱我就能得到原谅,实在抱歉接受有人工作指指点点贬低一句爱原谅,3
哎哟这一季变成Chandler的粉了！,一季Chandler粉,3
真的不喜歡羅斯這樣的男人,真的不喜歡羅斯這樣男人,3
我最喜欢的一直都是乔伊，接下来是菲比。,喜欢乔伊菲比,3
罗斯和瑞秋的纠结在继续。,罗斯瑞秋纠结,3
罗斯和瑞秋果然是要来点波折的，最后罗斯一定选的瑞秋！乔伊和钱德勒这对活宝????,罗斯瑞秋波折罗斯选瑞秋.乔伊钱德勒活宝,3
mark一下首集 看到沙发被占了 心理实在舒坦了 毕竟S2的感情线看得我有点窝火www,mark首集沙发占心理实在舒坦S2感情线窝火www,3
瑞秋和罗斯别分手哇,瑞秋罗斯分手,3
爱情公寓的主创们应该觉得脸红吧,爱情公寓主创脸红,3
预感我会越来越喜欢Chan…看美剧实在混着急呀…,预感我会越来越喜欢Chan.看美剧实在混着急,3
最近有些疯 看太多了~,疯看太多,3
Ross 好烦,Ross好烦,3
这一季钱钱真的好帅??,一季钱钱真的好帅,3
"我以为下一季会更瘦呢？

有内幕消息吗",一季瘦,3
年轻人不断在试错，比上一季好看。Joey劝钱钱跟珍妮丝分手说的话，简直是他和Rachel后来be的伏笔。,年轻人试错比上一季好看.Joey劝钱钱珍妮丝分手Rachel伏笔,3
